,n_speakers,glottocode
1309,42252851,alge1239
1310,31900000,suda1236
1311,11400000,sana1295
1312,22400000,said1239
1313,44000000,nort3139
1314,14500000,hija1235
1315,39000000,pash1269
1316,15000000,taib1240
1317,12800000,dakh1244
1318,40000000,lech1241
1319,29000000,indo1310
1320,25100000,nort2690
1321,13980000,sylh1242
1322,14000000,atla1275
1323,16010110,swah1253
1324,13800000,sout2697
1325,47000000,west2718
1326,20900000,nort2646
1327,27000000,nkoa1234
1328,11600000,sout3123
1329,77200000,stan1290
1330,208157220,stan1290
1331,58452300,stan1295
1332,76540740,stan1295
1333,82231620,nucl1301
1334,http://www.wikidata.org/.well-known/genid/d68ecb9cd0f476647333ea5e9abc0298,lati1261
1335,64800000,ital1282
1336,485000000,stan1288
1337,1700,wole1240
1338,1800,chip1262
1339,2000,jude1262
1340,1500,inte1239
1341,1500,koro1316
1342,2000,zumb1240
1343,1740,khva1239
1344,1920,jerr1238
1345,1500,hueh1236
1346,2189,zamu1245
1347,2189,ayor1240
1348,1450,bagv1239
